time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2016/05/14/16:16:45.679523,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.729410,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.779454,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.829395,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.879442,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.929340,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:45.979417,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.029439,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.079487,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.129407,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.179406,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.229322,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.279454,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.329419,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.379347,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.429477,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.479437,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.529404,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.579469,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.629344,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.679380,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.729343,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.779385,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.829473,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.879441,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.929327,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:46.979446,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.029418,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.079428,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.129396,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.179492,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.229390,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.279366,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.329435,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.379444,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.429293,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.479398,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.529388,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.579390,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.629392,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.679415,1.0,0.0,0.0,0.0,0.0,0.1
